iso1,iso2,group,community,id,season
-14.23,1.92,3,2,GA,November
-14.13,1.47,3,2,GA,November
-13.36,1.9,3,2,GA,November
-14.48,0.46,3,2,GA,November
-14.65,0.26,3,2,GA,November
-13.64,1.38,3,2,GA,November
-14.26,2.14,3,2,GA,November
-14.37,1.65,3,2,GA,November
-14.24,1.89,3,2,GA,November
-13.9,2.34,3,2,GA,November
-13.54,0.63,3,2,GA,November
-13.85,1.95,3,2,GA,November
-14.29,2.4,3,2,GA,November
-14.09,2.09,3,2,GA,November
-13,2.06,3,2,GA,November
-14.14,2.78,3,2,GA,November
-13.97,1.03,3,2,GA,November
-13.13,1.91,3,2,GA,November
-13.56,1.59,3,2,GA,November
-13.93,2.52,3,2,GA,November
-13.19,2.02,3,2,GA,November
-15.61,2.52,4,2,GF,November
-15.95,2.1,4,2,GF,November
-17.19,1.09,4,2,GF,November
-15.79,1.45,4,2,GF,November
-16.39,2.66,4,2,GF,November
-15.51,1.45,4,2,GF,November
-14.96,2.01,4,2,GF,November
-16.53,1.85,4,2,GF,November
-16.51,0,4,2,GF,November
-16.34,2.03,4,2,GF,November
-16.81,1.87,4,2,GF,November
-15.9,1.86,4,2,GF,November
-14.95,2.85,4,2,GF,November
-17.96,3.99,4,2,GF,November
-17.94,3.55,4,2,GF,November
-16.21,2.94,4,2,GF,November
-15.23,3.57,4,2,GF,November
-17.5,2.11,4,2,GF,November
-15.78,2.39,4,2,GF,November
-15.97,2.53,4,2,GF,November
-15.79,2.88,4,2,GF,November
-15.82,2.66,4,2,GF,November
-15.6,3.05,4,2,GF,November
-16.9,3.08,5,2,IB,November
-15.91,3.1,5,2,IB,November
-16.87,3.89,5,2,IB,November
-14.89,3.54,5,2,IB,November
-15.78,4.02,5,2,IB,November
-16.54,2.36,5,2,IB,November
-17.98,3.44,5,2,IB,November
-17.39,2.68,5,2,IB,November
-15.98,2.82,5,2,IB,November
-16.48,2.91,5,2,IB,November
-15.98,3.07,5,2,IB,November
-13.7,4.46,6,2,LA,November
-13.88,5.43,6,2,LA,November
-13.56,4.89,6,2,LA,November
-13.87,4.78,6,2,LA,November
-14.06,4.19,6,2,LA,November
-13.42,5.09,6,2,LA,November
-13.09,4.51,6,2,LA,November
-16.53,0.81,7,2,MH,November
-15.94,1.42,7,2,MH,November
