Season,Species,group,d13C
01_august,MH,4,-18.82
01_august,MH,4,-20.85
01_august,MH,4,-18.92
01_august,MH,4,-19.64
01_august,MH,4,-18.94
03_march,MH,4,-20.21
03_march,MH,4,-20.63
03_march,MH,4,-20.35
03_march,MH,4,-20.85
03_march,MH,4,-20.87
03_march,MH,4,-20.93
03_march,MH,4,-20.49
03_march,MH,4,-21.22
03_march,MH,4,-21.31
03_march,MH,4,-21.05
03_march,MH,4,-19.04
03_march,MH,4,-20.06
03_march,MH,4,-18.9
03_march,MH,4,-19.58
03_march,MH,4,-19.66
03_march,MH,4,-19.49
03_march,MH,4,-19.31
03_march,MH,4,-19.56
04_May,MH,4,-19.54
04_May,MH,4,-19.01
04_May,MH,4,-19.78
04_May,MH,4,-18.89
04_May,MH,4,-19.41
04_May,MH,4,-19.43
04_May,MH,4,-18.79
04_May,MH,4,-18.74
04_May,MH,4,-18.87
04_May,MH,4,-18.39
04_May,MH,4,-18.47
04_May,MH,4,-17.91
02_November,MH,4,-16.53
02_November,MH,4,-15.94
02_November,MH,4,-16.29
02_November,MH,4,-16.99
02_November,MH,4,-15.95
02_November,MH,4,-17.13
02_November,MH,4,-15.43
02_November,MH,4,-15.54
02_November,MH,4,-16.49
02_November,MH,4,-16
02_November,MH,4,-15.45
02_November,MH,4,-17.03
01_august,PX,5,-16.73
01_august,PX,5,-17.14
01_august,PX,5,-17.38
01_august,PX,5,-16.46
01_august,PX,5,-16.8
01_august,PX,5,-17.56
01_august,PX,5,-17.3
01_august,PX,5,-16.79
01_august,PX,5,-16.65
01_august,PX,5,-17.21
01_august,PX,5,-17.7
01_august,PX,5,-16.89
01_august,PX,5,-17.11
01_august,PX,5,-16.73
01_august,PX,5,-17.02
03_march,PX,5,-17.1
03_march,PX,5,-16.79
03_march,PX,5,-16.63
03_march,PX,5,-17.54
03_march,PX,5,-16.86
03_march,PX,5,-17.04
03_march,PX,5,-16.79
03_march,PX,5,-17.34
03_march,PX,5,-17.02
03_march,PX,5,-16.84
03_march,PX,5,-17.29
04_May,PX,5,-19.76
04_May,PX,5,-19.21
04_May,PX,5,-18.78
04_May,PX,5,-19.01
04_May,PX,5,-18.81
02_November,PX,5,-16.89
02_November,PX,5,-16.54
02_November,PX,5,-15.46
02_November,PX,5,-17.21
02_November,PX,5,-16.47
02_November,PX,5,-14.41
02_November,PX,5,-14.83
02_November,PX,5,-14.7
02_November,PX,5,-14.66
02_November,PX,5,-14.55
02_November,PX,5,-15.15
02_November,PX,5,-14.64
02_November,PX,5,-15.55
02_November,PX,5,-14.83
02_November,PX,5,-15.56
